Reference year,Region of usual residence (SA4),Sex,Industry of main job,Weighted median of Weekly earnings in main job (for means and medians) (%)
Aug-20,Tasmania,Male,Arts and Recreation Services,0
Aug-20,Tasmania,Male,Other Services,1054.1
Aug-20,Tasmania,Female,"Agriculture, Forestry and Fishing",0
Aug-20,Tasmania,Female,Mining,0
Aug-20,Tasmania,Female,Manufacturing,731.1
Aug-20,Tasmania,Female,"Electricity, Gas, Water and Waste Services",0
Aug-20,Tasmania,Female,Construction,0
Aug-20,Tasmania,Female,Wholesale Trade,0
Aug-20,Tasmania,Female,Retail Trade,597.4
Aug-20,Tasmania,Female,Accommodation and Food Services,654
Aug-20,Tasmania,Female,"Transport, Postal and Warehousing",0
Aug-20,Tasmania,Female,Information Media and Telecommunications,0
Aug-20,Tasmania,Female,Financial and Insurance Services,1150
Aug-20,Tasmania,Female,"Rental, Hiring and Real Estate Services",0
Aug-20,Tasmania,Female,"Professional, Scientific and Technical Services",1041.6
Aug-20,Tasmania,Female,Administrative and Support Services,0
Aug-20,Tasmania,Female,Public Administration and Safety,1200
Aug-20,Tasmania,Female,Education and Training,1100
Aug-20,Tasmania,Female,Health Care and Social Assistance,1000
Aug-20,Tasmania,Female,Arts and Recreation Services,0
Aug-20,Tasmania,Female,Other Services,750
Aug-20,Northern Territory,Male,"Agriculture, Forestry and Fishing",0
Aug-20,Northern Territory,Male,Mining,0
Aug-20,Northern Territory,Male,Manufacturing,0
Aug-20,Northern Territory,Male,"Electricity, Gas, Water and Waste Services",0
Aug-20,Northern Territory,Male,Construction,1581.5
Aug-20,Northern Territory,Male,Wholesale Trade,0
Aug-20,Northern Territory,Male,Retail Trade,757.5
Aug-20,Northern Territory,Male,Accommodation and Food Services,925.5
Aug-20,Northern Territory,Male,"Transport, Postal and Warehousing",1034.3
Aug-20,Northern Territory,Male,Information Media and Telecommunications,0
Aug-20,Northern Territory,Male,Financial and Insurance Services,0
Aug-20,Northern Territory,Male,"Rental, Hiring and Real Estate Services",0
Aug-20,Northern Territory,Male,"Professional, Scientific and Technical Services",1754.8
Aug-20,Northern Territory,Male,Administrative and Support Services,0
Aug-20,Northern Territory,Male,Public Administration and Safety,1776.8
Aug-20,Northern Territory,Male,Education and Training,1662.7
Aug-20,Northern Territory,Male,Health Care and Social Assistance,1250
Aug-20,Northern Territory,Male,Arts and Recreation Services,0
Aug-20,Northern Territory,Male,Other Services,956.8
Aug-20,Northern Territory,Female,"Agriculture, Forestry and Fishing",0
Aug-20,Northern Territory,Female,Mining,0
Aug-20,Northern Territory,Female,Manufacturing,0
Aug-20,Northern Territory,Female,"Electricity, Gas, Water and Waste Services",0
Aug-20,Northern Territory,Female,Construction,0
Aug-20,Northern Territory,Female,Wholesale Trade,0
Aug-20,Northern Territory,Female,Retail Trade,678.2
Aug-20,Northern Territory,Female,Accommodation and Food Services,600
Aug-20,Northern Territory,Female,"Transport, Postal and Warehousing",0
Aug-20,Northern Territory,Female,Information Media and Telecommunications,0
Aug-20,Northern Territory,Female,Financial and Insurance Services,0
Aug-20,Northern Territory,Female,"Rental, Hiring and Real Estate Services",0
Aug-20,Northern Territory,Female,"Professional, Scientific and Technical Services",1096.7
Aug-20,Northern Territory,Female,Administrative and Support Services,0
Aug-20,Northern Territory,Female,Public Administration and Safety,1315.2
Aug-20,Northern Territory,Female,Education and Training,1423.1
Aug-20,Northern Territory,Female,Health Care and Social Assistance,1145.9
Aug-20,Northern Territory,Female,Arts and Recreation Services,0
Aug-20,Northern Territory,Female,Other Services,0
Aug-20,Australian Capital Territory,Male,"Agriculture, Forestry and Fishing",0
Aug-20,Australian Capital Territory,Male,Mining,0
Aug-20,Australian Capital Territory,Male,Manufacturing,0
Aug-20,Australian Capital Territory,Male,"Electricity, Gas, Water and Waste Services",0
Aug-20,Australian Capital Territory,Male,Construction,1401.7
Aug-20,Australian Capital Territory,Male,Wholesale Trade,0
Aug-20,Australian Capital Territory,Male,Retail Trade,852.1
Aug-20,Australian Capital Territory,Male,Accommodation and Food Services,750
Aug-20,Australian Capital Territory,Male,"Transport, Postal and Warehousing",0
Aug-20,Australian Capital Territory,Male,Information Media and Telecommunications,0
Aug-20,Australian Capital Territory,Male,Financial and Insurance Services,0
Aug-20,Australian Capital Territory,Male,"Rental, Hiring and Real Estate Services",0
Aug-20,Australian Capital Territory,Male,"Professional, Scientific and Technical Services",2128
Aug-20,Australian Capital Territory,Male,Administrative and Support Services,0
Aug-20,Australian Capital Territory,Male,Public Administration and Safety,2057.8
Aug-20,Australian Capital Territory,Male,Education and Training,1858.1
Aug-20,Australian Capital Territory,Male,Health Care and Social Assistance,1376.3
Aug-20,Australian Capital Territory,Male,Arts and Recreation Services,0
Aug-20,Australian Capital Territory,Male,Other Services,0
Aug-20,Australian Capital Territory,Female,"Agriculture, Forestry and Fishing",0
Aug-20,Australian Capital Territory,Female,Mining,0
Aug-20,Australian Capital Territory,Female,Manufacturing,0
Aug-20,Australian Capital Territory,Female,"Electricity, Gas, Water and Waste Services",0
Aug-20,Australian Capital Territory,Female,Construction,0
Aug-20,Australian Capital Territory,Female,Wholesale Trade,0
Aug-20,Australian Capital Territory,Female,Retail Trade,794.5
Aug-20,Australian Capital Territory,Female,Accommodation and Food Services,369.2
Aug-20,Australian Capital Territory,Female,"Transport, Postal and Warehousing",0
Aug-20,Australian Capital Territory,Female,Information Media and Telecommunications,0
Aug-20,Australian Capital Territory,Female,Financial and Insurance Services,0
Aug-20,Australian Capital Territory,Female,"Rental, Hiring and Real Estate Services",0
Aug-20,Australian Capital Territory,Female,"Professional, Scientific and Technical Services",1313.2
Aug-20,Australian Capital Territory,Female,Administrative and Support Services,0
Aug-20,Australian Capital Territory,Female,Public Administration and Safety,1584.5
Aug-20,Australian Capital Territory,Female,Education and Training,1355.2
Aug-20,Australian Capital Territory,Female,Health Care and Social Assistance,899
Aug-20,Australian Capital Territory,Female,Arts and Recreation Services,0
Aug-20,Australian Capital Territory,Female,Other Services,797.7
Aug-21,New South Wales,Male,"Agriculture, Forestry and Fishing",1202.9
Aug-21,New South Wales,Male,Mining,2700
Aug-21,New South Wales,Male,Manufacturing,1476
Aug-21,New South Wales,Male,"Electricity, Gas, Water and Waste Services",1646
Aug-21,New South Wales,Male,Construction,1386.7
Aug-21,New South Wales,Male,Wholesale Trade,1256.7
Aug-21,New South Wales,Male,Retail Trade,1017
Aug-21,New South Wales,Male,Accommodation and Food Services,509.3
Aug-21,New South Wales,Male,"Transport, Postal and Warehousing",1257.2
Aug-21,New South Wales,Male,Information Media and Telecommunications,1833.7
Aug-21,New South Wales,Male,Financial and Insurance Services,2109
Aug-21,New South Wales,Male,"Rental, Hiring and Real Estate Services",2000
Aug-21,New South Wales,Male,"Professional, Scientific and Technical Services",1870.9
Aug-21,New South Wales,Male,Administrative and Support Services,1142.9
Aug-21,New South Wales,Male,Public Administration and Safety,1706.5
Aug-21,New South Wales,Male,Education and Training,1581.2
Aug-21,New South Wales,Male,Health Care and Social Assistance,1206.1
Aug-21,New South Wales,Male,Arts and Recreation Services,1279.1
Aug-21,New South Wales,Male,Other Services,1100
Aug-21,New South Wales,Female,"Agriculture, Forestry and Fishing",0
Aug-21,New South Wales,Female,Mining,0
Aug-21,New South Wales,Female,Manufacturing,999.9
Aug-21,New South Wales,Female,"Electricity, Gas, Water and Waste Services",0
Aug-21,New South Wales,Female,Construction,1143.7
Aug-21,New South Wales,Female,Wholesale Trade,1166.6
Aug-21,New South Wales,Female,Retail Trade,807.2
Aug-21,New South Wales,Female,Accommodation and Food Services,432
Aug-21,New South Wales,Female,"Transport, Postal and Warehousing",1200
Aug-21,New South Wales,Female,Information Media and Telecommunications,1407.4
Aug-21,New South Wales,Female,Financial and Insurance Services,1507.4
Aug-21,New South Wales,Female,"Rental, Hiring and Real Estate Services",1404.6
Aug-21,New South Wales,Female,"Professional, Scientific and Technical Services",1297
Aug-21,New South Wales,Female,Administrative and Support Services,1072.6
Aug-21,New South Wales,Female,Public Administration and Safety,1615.4
Aug-21,New South Wales,Female,Education and Training,1303.5
Aug-21,New South Wales,Female,Health Care and Social Assistance,1003.2
Aug-21,New South Wales,Female,Arts and Recreation Services,894.8
Aug-21,New South Wales,Female,Other Services,895.3
Aug-21,Victoria,Male,"Agriculture, Forestry and Fishing",1192.9
Aug-21,Victoria,Male,Mining,0
Aug-21,Victoria,Male,Manufacturing,1500
Aug-21,Victoria,Male,"Electricity, Gas, Water and Waste Services",1579
Aug-21,Victoria,Male,Construction,1359.3
Aug-21,Victoria,Male,Wholesale Trade,1479.4
Aug-21,Victoria,Male,Retail Trade,925.7
Aug-21,Victoria,Male,Accommodation and Food Services,471
Aug-21,Victoria,Male,"Transport, Postal and Warehousing",1220.9
Aug-21,Victoria,Male,Information Media and Telecommunications,1836.6
Aug-21,Victoria,Male,Financial and Insurance Services,2424
Aug-21,Victoria,Male,"Rental, Hiring and Real Estate Services",1309
Aug-21,Victoria,Male,"Professional, Scientific and Technical Services",1801.2
Aug-21,Victoria,Male,Administrative and Support Services,1227
Aug-21,Victoria,Male,Public Administration and Safety,1825
Aug-21,Victoria,Male,Education and Training,1472.5
Aug-21,Victoria,Male,Health Care and Social Assistance,1351.7
Aug-21,Victoria,Male,Arts and Recreation Services,1207.4
Aug-21,Victoria,Male,Other Services,1092.9
Aug-21,Victoria,Female,"Agriculture, Forestry and Fishing",925
Aug-21,Victoria,Female,Mining,0
Aug-21,Victoria,Female,Manufacturing,1101.6
Aug-21,Victoria,Female,"Electricity, Gas, Water and Waste Services",2079.3
Aug-21,Victoria,Female,Construction,1017.1
Aug-21,Victoria,Female,Wholesale Trade,995.4
Aug-21,Victoria,Female,Retail Trade,600
Aug-21,Victoria,Female,Accommodation and Food Services,400
Aug-21,Victoria,Female,"Transport, Postal and Warehousing",1216.8
Aug-21,Victoria,Female,Information Media and Telecommunications,1122.3
Aug-21,Victoria,Female,Financial and Insurance Services,1300.1
Aug-21,Victoria,Female,"Rental, Hiring and Real Estate Services",1054.4
Aug-21,Victoria,Female,"Professional, Scientific and Technical Services",1250
Aug-21,Victoria,Female,Administrative and Support Services,850
Aug-21,Victoria,Female,Public Administration and Safety,1369.7
Aug-21,Victoria,Female,Education and Training,1007.9
Aug-21,Victoria,Female,Health Care and Social Assistance,1000
Aug-21,Victoria,Female,Arts and Recreation Services,1191.6
Aug-21,Victoria,Female,Other Services,874.7
Aug-21,Queensland,Male,"Agriculture, Forestry and Fishing",945.5
Aug-21,Queensland,Male,Mining,2301
Aug-21,Queensland,Male,Manufacturing,1251.9
Aug-21,Queensland,Male,"Electricity, Gas, Water and Waste Services",1653.1
Aug-21,Queensland,Male,Construction,1331
Aug-21,Queensland,Male,Wholesale Trade,1500
Aug-21,Queensland,Male,Retail Trade,874
Aug-21,Queensland,Male,Accommodation and Food Services,691.8
Aug-21,Queensland,Male,"Transport, Postal and Warehousing",1342.8
Aug-21,Queensland,Male,Information Media and Telecommunications,0
Aug-21,Queensland,Male,Financial and Insurance Services,1821
Aug-21,Queensland,Male,"Rental, Hiring and Real Estate Services",1343.5
Aug-21,Queensland,Male,"Professional, Scientific and Technical Services",1732.5
Aug-21,Queensland,Male,Administrative and Support Services,957.2
Aug-21,Queensland,Male,Public Administration and Safety,1750
Aug-21,Queensland,Male,Education and Training,1562.1
Aug-21,Queensland,Male,Health Care and Social Assistance,1300
Aug-21,Queensland,Male,Arts and Recreation Services,0
Aug-21,Queensland,Male,Other Services,1248.7
Aug-21,Queensland,Female,"Agriculture, Forestry and Fishing",0
Aug-21,Queensland,Female,Mining,0
Aug-21,Queensland,Female,Manufacturing,917.8
Aug-21,Queensland,Female,"Electricity, Gas, Water and Waste Services",0
Aug-21,Queensland,Female,Construction,1047.7
Aug-21,Queensland,Female,Wholesale Trade,993.2
Aug-21,Queensland,Female,Retail Trade,688.7
Aug-21,Queensland,Female,Accommodation and Food Services,599.3
Aug-21,Queensland,Female,"Transport, Postal and Warehousing",950
Aug-21,Queensland,Female,Information Media and Telecommunications,0
Aug-21,Queensland,Female,Financial and Insurance Services,1391.3
Aug-21,Queensland,Female,"Rental, Hiring and Real Estate Services",1066.1
Aug-21,Queensland,Female,"Professional, Scientific and Technical Services",1207.5
Aug-21,Queensland,Female,Administrative and Support Services,933.5
Aug-21,Queensland,Female,Public Administration and Safety,1411.3
Aug-21,Queensland,Female,Education and Training,1200
Aug-21,Queensland,Female,Health Care and Social Assistance,1040
Aug-21,Queensland,Female,Arts and Recreation Services,0
Aug-21,Queensland,Female,Other Services,700.8
Aug-21,South Australia,Male,"Agriculture, Forestry and Fishing",1220.6
Aug-21,South Australia,Male,Mining,2097.2
Aug-21,South Australia,Male,Manufacturing,1200
Aug-21,South Australia,Male,"Electricity, Gas, Water and Waste Services",1482.7
Aug-21,South Australia,Male,Construction,1296.4
Aug-21,South Australia,Male,Wholesale Trade,1436
Aug-21,South Australia,Male,Retail Trade,903.3
Aug-21,South Australia,Male,Accommodation and Food Services,516.3
Aug-21,South Australia,Male,"Transport, Postal and Warehousing",1125.3
Aug-21,South Australia,Male,Information Media and Telecommunications,0
Aug-21,South Australia,Male,Financial and Insurance Services,1893.6
Aug-21,South Australia,Male,"Rental, Hiring and Real Estate Services",1554.1
Aug-21,South Australia,Male,"Professional, Scientific and Technical Services",1923.3
Aug-21,South Australia,Male,Administrative and Support Services,887.4
Aug-21,South Australia,Male,Public Administration and Safety,1549.8
Aug-21,South Australia,Male,Education and Training,1601.4
Aug-21,South Australia,Male,Health Care and Social Assistance,1056
Aug-21,South Australia,Male,Arts and Recreation Services,760.3
Aug-21,South Australia,Male,Other Services,1225.3
Aug-21,South Australia,Female,"Agriculture, Forestry and Fishing",0
Aug-21,South Australia,Female,Mining,0
Aug-21,South Australia,Female,Manufacturing,875.6
Aug-21,South Australia,Female,"Electricity, Gas, Water and Waste Services",0
Aug-21,South Australia,Female,Construction,1045
Aug-21,South Australia,Female,Wholesale Trade,997.2
Aug-21,South Australia,Female,Retail Trade,611.4
Aug-21,South Australia,Female,Accommodation and Food Services,550
Aug-21,South Australia,Female,"Transport, Postal and Warehousing",0
